prefix,group,source,round,source_cycle,execution_index,benchmark,cpu,raw_benchmark,iterations,ns_op,bytes_op,allocs_op,comparison,note,raw_file
r9,public,current,1,2,14,BenchmarkValidateSmallInvalidDocument,,BenchmarkValidateSmallInvalidDocument,21748,11014,77096,48,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateManyRecoverablePathErrors,,BenchmarkValidateManyRecoverablePathErrors,2773,90734,110080,627,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateDeeplyNestedDocument,,BenchmarkValidateDeeplyNestedDocument,2355,102031,159456,174,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateDeepThenShallow,,BenchmarkSessionValidateDeepThenShallow,337868,707,32,1,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateDuplicateAttributes,,BenchmarkValidateDuplicateAttributes,681,358853,586985,1083,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileDuplicateSchemaSources,,BenchmarkCompileDuplicateSchemaSources,915,248760,221832,444,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileIncludeGraph,,BenchmarkCompileIncludeGraph,244,921026,767408,3623,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileChameleonTargetFanout/targets_1,,BenchmarkCompileChameleonTargetFanout/targets_1,3288,65185,132584,340,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileChameleonTargetFanout/targets_8,,BenchmarkCompileChameleonTargetFanout/targets_8,1840,130826,197880,696,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileChameleonTargetFanout/targets_32,,BenchmarkCompileChameleonTargetFanout/targets_32,676,362682,427257,1703,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkCompileSchemaText,,BenchmarkCompileSchemaText,644,323898,1379592,282,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateIdentityConstraints,,BenchmarkValidateIdentityConstraints,849,298056,167120,501,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateIdentityConstraintsRows/rows_10,,BenchmarkValidateIdentityConstraintsRows/rows_10,6067,38752,86512,114,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateIdentityConstraintsRows/rows_100,,BenchmarkValidateIdentityConstraintsRows/rows_100,872,287252,167120,501,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateIdentityConstraintsRows/rows_1000,,BenchmarkValidateIdentityConstraintsRows/rows_1000,100,2909665,1034969,4626,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateIdentityConstraintsRows/rows_10,,BenchmarkSessionValidateIdentityConstraintsRows/rows_10,10000,25261,4168,42,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateIdentityConstraintsRows/rows_100,,BenchmarkSessionValidateIdentityConstraintsRows/rows_100,997,243614,37711,321,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateIdentityConstraintsRows/rows_1000,,BenchmarkSessionValidateIdentityConstraintsRows/rows_1000,100,2531524,445182,4016,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateIdentityConstraintsFields/fields_1,,BenchmarkValidateIdentityConstraintsFields/fields_1,1416,166858,119648,363,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateIdentityConstraintsFields/fields_3,,BenchmarkValidateIdentityConstraintsFields/fields_3,823,291539,153920,876,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkValidateIdentityConstraintsFields/fields_8,,BenchmarkValidateIdentityConstraintsFields/fields_8,403,598334,208696,1891,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateNestedIdentitySelections/depth_16,,BenchmarkSessionValidateNestedIdentitySelections/depth_16,8122,29924,4121,27,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateNestedIdentitySelections/depth_64,,BenchmarkSessionValidateNestedIdentitySelections/depth_64,1486,173690,17154,79,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateNestedIdentitySelections/depth_256,,BenchmarkSessionValidateNestedIdentitySelections/depth_256,159,1489570,70562,277,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateNestedIdentitySelectionPaths,,BenchmarkSessionValidateNestedIdentitySelectionPaths,843,288459,131244,3,paired,,r9-public-1-current.txt
r9,public,current,1,2,14,BenchmarkSessionValidateRetainedIdentityPaths,,BenchmarkSessionValidateRetainedIdentityPaths,100,2918518,650621,4018,paired,,r9-public-1-current.txt
